LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD
West Belmont,1744,1429,1606,1704,1578,1620,1850,2204,1500,,,,15235
West Chicago Avenue,1949,1760,1668,1689,1746,1660,1754,2033,1747,,,,16006
West Englewood,2586,2341,2565,2590,2338,2687,2415,2680,2258,,,,22460
West Lawn,1789,1686,1921,1685,1696,1625,1374,1357,1184,,,,14317
West Pullman,4125,3755,3851,4123,4047,4257,4574,4746,4280,,,,37758
West Town,2240,2023,2495,2225,2432,2112,2471,2306,2131,,,,20435
"Whitney M. Young, Jr.",2975,2590,2721,2820,2653,2636,2615,3110,712,,,,22832
Woodson Regional,0,0,0,0,0,0,0,0,0,,,,0
Wrightwood-Ashburn,1629,1550,1650,1463,1560,1489,1337,1559,1495,,,,13732
YOUmedia,527,418,508,506,705,557,537,561,438,,,,4757
